id,show,era,host_name,host_pct,who_dominates,third_voice,notes
"# V3 DIARIZATION AUDIT — fill in the 20 rows at the bottom. ~40 min.",,,,,,,
"# Play audit clips A01-A20 (2 min each). They are mid-episode: the first",,,,,,,
"# 120s of every episode is skipped so intros and ads don't flatter the result.",,,,,,,
"#",,,,,,,
"# WHAT YOU ARE JUDGING: how much of each clip is the HOST talking. Not the",,,,,,,
"# content, not a transcript. The measured rate is fingerprint-words per HOST",,,,,,,
"# word — if guest speech leaks into the host column the denominator is wrong.",,,,,,,
"#",,,,,,,
"# COLUMNS TO FILL:",,,,,,,
"#   host_pct       0-100. Host's share of the TALKING. Nearest 10 is fine.",,,,,,,
"#   who_dominates  HOST / GUEST / EVEN. Use EVEN for roughly 40-60.",,,,,,,
"#   third_voice    Y if you hear anyone who is neither host nor guest",,,,,,,
"#                  (audience, producer, a played clip, a co-host). Else N.",,,,,,,
"#   notes          anything odd: music, ad read, crosstalk, phone audio,",,,,,,,
"#                  long silence. If you cannot tell which voice is the host,",,,,,,,
"#                  write that — 'indistinguishable' is a real finding.",,,,,,,
"#",,,,,,,
"# host_name is pre-filled per row, so you never have to infer who the host is.",,,,,,,
"# era is here only so I can check accuracy doesn't differ between periods.",,,,,,,
"# Don't let it influence your listening.",,,,,,,
"#",,,,,,,
"# THE ONE RULE: do not open answer_key.json until you are done. It holds the",,,,,,,
"# pipeline's answers. Blind labels are the only kind worth having — if you've",,,,,,,
"# seen the machine's answer the gate becomes unfalsifiable.",,,,,,,
"#",,,,,,,
"# Two of the twenty are episodes an automated QA rule flagged as implausible",,,,,,,
"# (pipeline claims ~99.9% host). They are unmarked on purpose. Your blind",,,,,,,
"# labels on those two decide whether they're excluded from the analysis.",,,,,,,
"# Don't try to guess which ones they are.",,,,,,,
"#",,,,,,,
"# OUTCOMES: gate is host-attribution accuracy >=90%. PASS = corpus validated.",,,,,,,
"# FAIL = diarization isn't fit for purpose and the pilot reports that as a",,,,,,,
"# finding — that is a real result, not a mistake on your part.",,,,,,,
"#",,,,,,,
"# Partial is usable. 12 clips gives a wider interval but still works.",,,,,,,
"# Send the file back with whatever you have. Leave these # rows in place.",,,,,,,
A01,Lex,2019-21,Lex Fridman,,,,
A02,Lex,2023-25,Lex Fridman,,,,
A03,Lex,2019-21,Lex Fridman,,,,
A04,Lex,2019-21,Lex Fridman,,,,
A05,Lex,2019-21,Lex Fridman,,,,
A06,Lex,2019-21,Lex Fridman,,,,
A07,Lex,2019-21,Lex Fridman,,,,
A08,Lex,2019-21,Lex Fridman,,,,
A09,Lex,2023-25,Lex Fridman,,,,
A10,Lex,2023-25,Lex Fridman,,,,
A11,Lex,2023-25,Lex Fridman,,,,
A12,Lex,2023-25,Lex Fridman,,,,
A13,Lex,2023-25,Lex Fridman,,,,
A14,Lex,2023-25,Lex Fridman,,,,
A15,EconTalk,2019-21,Russ Roberts,,,,
A16,EconTalk,2019-21,Russ Roberts,,,,
A17,EconTalk,2019-21,Russ Roberts,,,,
A18,EconTalk,2023-25,Russ Roberts,,,,
A19,EconTalk,2023-25,Russ Roberts,,,,
A20,EconTalk,2023-25,Russ Roberts,,,,
